address1,postcode,api_request_status,address2,address3,building-reference-number,current-energy-rating,potential-energy-rating,current-energy-efficiency,potential-energy-efficiency,property-type,built-form,inspection-date,local-authority,constituency,county,lodgement-date,transaction-type,environment-impact-current,environment-impact-potential,energy-consumption-current,energy-consumption-potential,co2-emissions-current,co2-emiss-curr-per-floor-area,co2-emissions-potential,lighting-cost-current,lighting-cost-potential,heating-cost-current,heating-cost-potential,hot-water-cost-current,hot-water-cost-potential,total-floor-area,energy-tariff,mains-gas-flag,floor-level,flat-top-storey,flat-storey-count,main-heating-controls,multi-glaze-proportion,glazed-type,glazed-area,extension-count,number-habitable-rooms,number-heated-rooms,low-energy-lighting,number-open-fireplaces,hotwater-description,hot-water-energy-eff,hot-water-env-eff,floor-description,floor-energy-eff,floor-env-eff,windows-description,windows-energy-eff,windows-env-eff,walls-description,walls-energy-eff,walls-env-eff,secondheat-description,sheating-energy-eff,sheating-env-eff,roof-description,roof-energy-eff,roof-env-eff,mainheat-description,mainheat-energy-eff,mainheat-env-eff,mainheatcont-description,mainheatc-energy-eff,mainheatc-env-eff,lighting-description,lighting-energy-eff,lighting-env-eff,main-fuel,wind-turbine-count,heat-loss-corridor,unheated-corridor-length,floor-height,photo-supply,solar-water-heating-flag,mechanical-ventilation,address,local-authority-label,constituency-label,posttown,construction-age-band,lodgement-datetime,tenure,fixed-lighting-outlets-count,low-energy-fixed-light-count,uprn
"16, Hazeldene",RG20 8UP,one_record_found,Chieveley,,5650483078,D,C,64,80,House,Mid-Terrace,2018-07-04,E06000037,E14000830,,2018-07-09,rental (social),76,89,127,39,2.4,27,1,62,62,452,419,204,124,87,Single,N,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,4,4,100,0,From main system,Poor,Good,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,None,N/A,N/A,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, LPG",Poor,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,LPG (not community),0,NO DATA!,,,,N,natural,"16, Hazeldene, Chieveley",West Berkshire,Newbury,NEWBURY,England and Wales: 1976-1982,2018-07-09 11:34:13,rental (social),,,1.0008E+11
"423, Winterthur Way",RG21 7UW,(),,,4958687668,C,C,78,78,Flat,Mid-Terrace,2010-06-21,E07000084,E14000545,Hampshire,2010-06-21,rental (social),74,74,229,229,2,34,2,37,37,186,186,127,127,58.79,dual,N,Ground,N,5,2401,100,double glazing installed during or after 2002,Normal,0,3,3,100,0,"Electric immersion, off-peak",Average,Poor,"Suspended, insulated (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,"Room heaters, electric",N/A,N/A,(another dwelling above),N/A,N/A,Electric storage heaters,Average,Poor,Manual charge control,Poor,Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,electricity - this is for backwards compatibility only and should not be used,0,heated corridor,,2.34,0,N,"mechanical, supply and extract","423, Winterthur Way",Basingstoke and Deane,Basingstoke,BASINGSTOKE,England and Wales: 2003-2006,2010-06-21 21:20:42,rental (social),,,10002921195
"10, Exeter Close",SO18 2EF,one_record_found,,,3509837578,E,C,51,72,House,Detached,2018-04-12,E06000045,E14000955,,2018-04-12,rental (social),66,83,169,49,2.7,36,1,115,57,544,478,157,99,76,Unknown,N,NODATA!,,,2107,100,"double glazing, unknown install date",Normal,0,5,5,0,0,From main system,Poor,Good,"Solid, limited insulation (assumed)",NO DATA!,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,None,N/A,N/A,"Pitched, 300 mm loft insulation",Very Good,Very Good,"Boiler and radiators, LPG",Poor,Good,"Programmer, TRVs and bypass",Average,Average,No low energy lighting,Very Poor,Very Poor,LPG (not community),0,NO DATA!,,,,N,natural,"10, Exeter Close",Southampton,"Southampton, Itchen",SOUTHAMPTON,England and Wales: 1996-2002,2018-04-12 12:19:12,rental (social),,,1.00061E+11
28 Kingsway House,SP2 0FB,(),Warminster Road,Wilton,254798568,C,C,77,78,Flat,Semi-Detached,2020-08-07,E06000054,E14000912,,2020-08-09,rental (social),82,83,180,166,1,32,0.9,30,30,209,194,68,68,32,Single,Y,1st,N,,2106,100,triple glazing,Normal,0,2,2,100,0,From main system,Good,Good,(another dwelling below),NO DATA!,N/A,Fully triple glazed,Good,Good,"Solid brick, with internal insulation",Good,Good,None,N/A,N/A,(another dwelling above),N/A,N/A,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0,unheated corridor,5.1,,,N,natural,"28 Kingsway House, Warminster Road, Wilton",Wiltshire,Salisbury,SALISBURY,England and Wales: 1950-1966,2020-08-09 19:40:51,rental (social),,,10010456866
"7, Wantage Gardens",PL1 5DN,(),,,775773178,D,B,62,87,House,End-Terrace,2014-01-22,E06000026,E14000880,,2014-01-27,rental (social),59,89,226,45,3.3,44,0.7,59,59,585,337,137,76,76,Single,Y,NODATA!,,,2104,100,double glazing installed before 2002,Normal,0,4,4,82,0,From main system,Good,Good,"Suspended, limited insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, no insulation",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in 82% of fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,,0,,natural,"7, Wantage Gardens",Plymouth,"Plymouth, Sutton and Devonport",PLYMOUTH,England and Wales: 1996-2002,2014-01-27 07:53:04,rental (social),11,9,10000103071
"8, St. Marys Way",OX12 9BB,(),,,341112668,D,D,57,65,Maisonette,Semi-Detached,2018-07-18,E07000180,E14001015,Oxfordshire,2018-07-22,rental (social),71,77,168,131,2.4,35,1.9,106,53,488,418,149,127,69,Single,N,1st,Y,,2106,100,double glazing installed before 2002,Normal,0,3,3,0,0,From main system,Poor,Good,(another dwelling below),NO DATA!,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Average,Average,None,N/A,N/A,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, LPG",Poor,Good,"Programmer, room thermostat and TRVs",Good,Good,No low energy lighting,Very Poor,Very Poor,LPG (not community),0,no corridor,,,,N,natural,"8, St. Marys Way",Vale of White Horse,Wantage,WANTAGE,England and Wales: 1950-1966,2018-07-22 13:50:38,rental (social),,,1.00121E+11
"62, Broad Close",DT11 9BL,one_record_found,Winterborne Kingston,,8819491768,D,C,61,80,House,Semi-Detached,2015-04-21,E06000059,E14000839,Dorset,2015-04-27,rental (social),41,62,367,209,5.9,62,3.4,71,71,754,568,153,94,95,dual,N,NODATA!,,,2401,100,triple glazing,Normal,0,4,4,100,0,"Electric immersion, off-peak",Average,Poor,"Suspended, limited insulation (assumed)",NO DATA!,N/A,Fully triple glazed,Good,Good,"System built, as built, insulated (assumed)",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, insulated (assumed)",Good,Good,Electric storage heaters,Average,Very Poor,Manual charge control,Poor,Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,electricity (not community),0,NO DATA!,,,,N,"mechanical, extract only","62, Broad Close, Winterborne Kingston",Dorset,North Dorset,BLANDFORD FORUM,England and Wales: 1996-2002,2015-04-27 07:56:49,rental (social),,,2.00003E+11
"49, Lancaster Close",RG18 3FJ,(),,,150858078,D,A,62,92,Bungalow,Mid-Terrace,2014-04-19,E06000037,E14000830,,2014-04-24,rental (social),60,95,256,22,2.9,49,0.3,44,44,576,291,83,58,60,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,3,3,83,0,From main system,Good,Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,None,N/A,N/A,"Pitched, no insulation",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 83% of fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,,0,,natural,"49, Lancaster Close",West Berkshire,Newbury,THATCHAM,England and Wales: 1967-1975,2014-04-24 17:28:27,rental (social),6,5,2.00005E+11
"1, Hoptons Retreat",SO24 0PG,(),Kilmeston,,3466927968,C,B,70,89,House,Semi-Detached,2012-04-11,E07000094,E14000811,Hampshire,2012-04-11,rental (social),77,94,123,-2,1.8,27,0.2,50,50,350,350,156,87,67,Single,N,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,4,4,75,0,From main system,Poor,Good,"Suspended, insulated (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, insulated (assumed)",Good,Good,"Boiler and radiators, LPG",Average,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 75% of fixed outlets,Very Good,Very Good,LPG (not community),0,NO DATA!,,,0,,natural,"1, Hoptons Retreat, Kilmeston",Winchester,Meon Valley,ALRESFORD,England and Wales: 2007 onwards,2012-04-11 19:31:09,rental (social),8,6,10034498789
"4, Sandringham Way",RG31 4XA,one_record_found,Calcot,,2165186668,E,C,51,72,House,Mid-Terrace,2009-07-13,E06000037,E14000890,,2009-08-31,rental (social),45,68,417,234,5,70,2.8,60,36,709,423,149,108,82.95,Single,Y,NO DATA!,,,2104,0,single glazing,Normal,0,4,4,33,0,From main system,Average,Good,"Solid, no insulation (assumed)",N/A,N/A,Single glazed,Very Poor,Very Poor,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",N/A,N/A,"Pitched, no insulation",Very Poor,Very Poor,"Boiler and radiators, mains gas",Average,Good,Programmer and room thermostat,Poor,Poor,Low energy lighting in 33% of fixed outlets,Average,Average,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.33,0,N,natural,"4, Sandringham Way, Calcot",West Berkshire,Reading West,READING,England and Wales: 1950-1966,2009-08-31 12:08:10,rental (social),,,1.0008E+11
"39, Aldersey Fields",GU34 2QB,(),,,6214827478,D,B,64,85,House,Mid-Terrace,2016-09-16,E07000085,E14000680,Hampshire,2016-09-17,rental (social),59,83,273,102,3.6,48,1.4,92,55,648,467,110,72,76,Single,Y,NODATA!,,,2106,100,"double glazing, unknown install date",Normal,0,3,3,33,0,From main system,Good,Good,"Suspended, limited insulation (assumed)",NO DATA!,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, no insulation",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 33% of fixed outlets,Average,Average,mains gas (not community),0,NO DATA!,,2.37,,N,natural,"39, Aldersey Fields",East Hampshire,East Hampshire,ALTON,England and Wales: 1996-2002,2016-09-17 17:11:35,rental (social),,,10009819239
"3, Quantock Close",RG22 5DJ,(),,,1844301578,D,B,58,87,Bungalow,End-Terrace,2017-04-03,E07000084,E14000545,Hampshire,2017-04-03,rental (social),50,85,324,83,4.5,57,1.2,53,53,802,407,136,81,78,Single,Y,NODATA!,,,2106,100,"double glazing, unknown install date",Normal,0,5,5,100,0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Average,Average,"Timber frame, as built, partial insulation (assumed)",Average,Average,None,N/A,N/A,"Pitched, no insulation",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,,,N,natural,"3, Quantock Close",Basingstoke and Deane,Basingstoke,BASINGSTOKE,England and Wales: 1967-1975,2017-04-03 19:35:44,rental (social),,,1.0006E+11
